%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83106.247,301.710,8.689,-0.026,-302.181,215.570,1.000
83098.184,301.710,8.689,0.134,-302.181,215.570,1.000
83106.247,301.709,8.847,-0.026,-302.181,215.570,1.000
83106.247,301.712,8.847,-0.186,-302.165,215.580,1.000
83106.247,301.709,8.768,-0.026,-302.181,215.570,1.000
83110.279,301.709,8.768,-0.186,-302.214,215.570,1.000
83102.216,301.710,8.847,-0.186,-302.197,215.570,1.000
83110.279,301.712,8.768,-0.026,-302.181,215.570,1.000
83094.153,301.714,8.768,-0.026,-302.197,215.560,1.000
83098.184,301.710,8.847,-0.186,-302.197,215.570,1.000
83102.216,301.712,8.768,-0.186,-302.165,215.580,1.000
83098.184,301.712,8.768,-0.026,-302.214,215.590,1.000
83102.216,301.710,8.768,-0.186,-302.181,215.570,1.000
83102.216,301.714,8.768,-0.186,-302.214,215.580,1.000
83098.184,301.712,8.847,-0.186,-302.165,215.580,1.000
83098.184,301.714,8.847,-0.026,-302.181,215.580,1.000
83102.216,301.712,8.926,0.294,-302.197,215.570,1.000
83098.184,301.712,8.689,0.294,-302.197,215.570,1.000
83098.184,301.712,8.689,-0.026,-302.197,215.580,1.000
83106.247,301.710,8.768,0.294,-302.165,215.570,1.000
83102.216,301.712,8.689,0.294,-302.181,215.570,1.000
83098.184,301.715,8.847,0.294,-302.165,215.560,1.000
83106.247,301.714,8.768,0.454,-302.197,215.560,1.000
83102.216,301.712,8.689,0.454,-302.181,215.570,1.000
83106.247,301.714,8.768,0.294,-302.197,215.580,1.000
83106.247,301.714,8.768,0.454,-302.197,215.560,1.000
83106.247,301.714,8.847,0.134,-302.181,215.560,1.000
83098.184,301.714,8.609,0.294,-302.197,215.570,1.000
83098.184,301.714,8.689,-0.026,-302.181,215.570,1.000
83102.216,301.710,8.609,0.294,-302.181,215.570,1.000
83102.216,301.710,8.530,-0.026,-302.214,215.580,1.000
83102.216,301.715,8.609,0.454,-302.165,215.570,1.000
83102.216,301.715,8.609,0.454,-302.197,215.570,1.000
83106.247,301.712,8.609,0.294,-302.165,215.580,1.000
83102.216,301.714,8.609,0.134,-302.197,215.580,1.000
83102.216,301.714,8.689,0.294,-302.197,215.570,1.000
83106.247,301.715,8.689,0.294,-302.230,215.580,1.000
83098.184,301.710,8.451,0.294,-302.214,215.580,1.000
83102.216,301.714,8.530,-0.026,-302.197,215.580,1.000
83102.216,301.714,8.530,0.134,-302.181,215.560,1.000
83102.216,301.712,8.609,0.134,-302.197,215.590,1.000
83106.247,301.715,8.609,-0.026,-302.165,215.570,1.000
83110.279,301.714,8.609,0.134,-302.197,215.560,1.000
83106.247,301.717,8.689,-0.186,-302.181,215.570,1.000
83106.247,301.712,8.689,-0.026,-302.181,215.590,1.000
83106.247,301.710,8.689,-0.346,-302.181,215.570,1.000
83106.247,301.709,8.609,0.294,-302.197,215.570,1.000
83114.310,301.709,8.689,-0.026,-302.197,215.560,1.000
83106.247,301.710,8.768,-0.026,-302.165,215.590,1.000
83102.216,301.710,8.609,-0.026,-302.181,215.590,1.000
83106.247,301.709,8.689,-0.026,-302.197,215.570,1.000
83102.216,301.710,8.689,-0.186,-302.181,215.580,1.000
83106.247,301.710,8.609,-0.026,-302.214,215.570,1.000
83102.216,301.715,8.847,0.134,-302.214,215.570,1.000
83098.184,301.712,8.768,-0.346,-302.214,215.560,1.000
83106.247,301.712,8.768,0.134,-302.181,215.549,1.000
83102.216,301.714,8.768,-0.026,-302.181,215.570,1.000
83098.184,301.712,8.689,0.134,-302.165,215.560,1.000
83098.184,301.710,8.689,-0.186,-302.197,215.570,1.000
83102.216,301.712,8.689,0.134,-302.181,215.570,1.000
83098.184,301.712,8.768,0.134,-302.197,215.570,1.000
83106.247,301.710,8.926,-0.026,-302.197,215.570,1.000
83098.184,301.709,8.926,-0.026,-302.181,215.560,1.000
83098.184,301.712,8.847,-0.026,-302.197,215.570,1.000
83106.247,301.710,8.689,0.134,-302.165,215.570,1.000
83106.247,301.712,8.768,-0.026,-302.197,215.580,1.000
83098.184,301.712,8.847,0.134,-302.214,215.549,1.000
