%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82924.834,300.145,349.973,121.907,0.014,-0.006,5.000
82932.897,300.145,349.815,122.067,0.030,-0.006,5.000
82932.897,300.146,349.815,122.067,-0.003,-0.017,5.000
82928.866,300.145,349.894,121.907,-0.003,-0.006,5.000
82932.897,300.145,349.973,122.227,-0.003,-0.006,5.000
82924.834,300.145,349.894,122.388,-0.019,0.005,5.000
82932.897,300.143,349.973,122.708,-0.003,-0.006,5.000
82936.929,300.145,350.053,122.548,-0.019,-0.006,5.000
82928.866,300.145,349.973,122.868,-0.003,-0.027,5.000
82928.866,300.145,349.973,123.028,-0.019,-0.017,5.000
82936.929,300.143,350.053,122.868,-0.003,0.005,5.000
82928.866,300.141,349.894,123.188,-0.003,0.016,5.000
82932.897,300.141,350.053,123.508,-0.019,0.005,5.000
82928.866,300.138,350.053,123.348,-0.003,-0.017,5.000
82928.866,300.140,349.973,123.668,-0.003,-0.027,5.000
82928.866,300.143,350.053,123.668,0.030,-0.006,5.000
82928.866,300.138,349.973,124.149,-0.019,-0.006,5.000
82932.897,300.137,350.053,124.149,-0.019,-0.017,5.000
82936.929,300.143,350.290,124.469,-0.003,-0.017,5.000
82932.897,300.140,350.053,124.469,-0.003,0.005,5.000
82928.866,300.141,350.132,124.629,0.014,-0.017,5.000
82932.897,300.140,350.290,124.789,0.014,-0.017,5.000
82936.929,300.140,350.369,124.789,-0.019,-0.006,5.000
82932.897,300.140,350.211,124.789,0.014,-0.027,5.000
82928.866,300.138,350.132,124.629,-0.019,-0.017,5.000
82924.834,300.140,350.211,124.309,-0.003,0.005,5.000
82928.866,300.140,350.211,124.789,-0.019,-0.006,5.000
82936.929,300.141,350.053,124.629,-0.019,-0.006,5.000
82936.929,300.140,350.053,124.469,-0.003,0.005,5.000
82928.866,300.143,350.053,124.629,0.014,-0.017,5.000
82932.897,300.141,350.053,124.629,-0.019,-0.006,5.000
82932.897,300.140,350.053,124.149,-0.003,-0.006,5.000
82924.834,300.141,349.973,124.469,-0.019,-0.006,5.000
82928.866,300.141,350.211,123.828,-0.019,0.005,5.000
82928.866,300.143,350.132,123.828,0.014,0.005,5.000
82932.897,300.145,349.973,123.668,-0.019,0.005,5.000
82928.866,300.145,349.894,123.668,0.014,-0.006,5.000
82932.897,300.146,349.973,123.508,-0.019,-0.006,5.000
82924.834,300.143,349.894,123.348,-0.003,-0.006,5.000
82924.834,300.149,349.815,123.028,-0.003,0.005,5.000
82928.866,300.145,349.815,122.868,-0.003,-0.006,5.000
82932.897,300.148,349.736,122.388,-0.019,0.005,5.000
82924.834,300.146,349.894,122.388,0.030,0.005,5.000
82924.834,300.148,349.815,122.388,0.014,-0.027,5.000
82920.803,300.146,349.815,122.067,-0.019,-0.006,5.000
82924.834,300.148,349.657,121.907,0.014,-0.006,5.000
82924.834,300.146,349.578,121.587,0.014,-0.006,5.000
82920.803,300.148,349.578,121.427,-0.052,-0.006,5.000
82924.834,300.146,349.657,121.427,0.046,-0.006,5.000
82924.834,300.146,349.657,121.107,0.014,-0.006,5.000
82924.834,300.143,349.578,120.947,-0.019,-0.006,5.000
82920.803,300.146,349.578,121.107,-0.019,-0.006,5.000
82924.834,300.141,349.657,120.947,-0.003,-0.017,5.000
82924.834,300.146,349.578,120.947,-0.003,-0.017,5.000
82920.803,300.146,349.420,120.787,-0.003,-0.006,5.000
82924.834,300.145,349.420,120.466,-0.019,-0.006,5.000
82924.834,300.143,349.499,120.787,-0.035,-0.006,5.000
82924.834,300.145,349.341,120.787,-0.035,0.005,5.000
82924.834,300.143,349.341,120.947,-0.035,0.016,5.000
82920.803,300.143,349.420,120.627,-0.019,-0.017,5.000
82924.834,300.145,349.262,120.787,-0.003,-0.006,5.000
82924.834,300.143,349.420,120.947,-0.003,0.005,5.000
82932.897,300.140,349.183,120.787,-0.019,-0.006,5.000
82924.834,300.141,349.262,120.787,-0.003,0.005,5.000
82920.803,300.140,349.341,121.107,-0.003,-0.006,5.000
82924.834,300.140,349.262,120.947,-0.003,-0.006,5.000
82928.866,300.141,349.104,121.267,-0.003,-0.006,5.000
82932.897,300.141,349.025,121.587,-0.003,-0.006,5.000
82928.866,300.140,349.183,121.747,0.014,-0.017,5.000
82924.834,300.137,349.262,121.747,-0.003,-0.006,5.000
82928.866,300.137,349.104,121.587,0.014,0.005,5.000
82924.834,300.141,349.104,121.907,0.014,-0.006,5.000
82932.897,300.138,349.104,122.227,-0.003,-0.006,5.000
82928.866,300.138,349.025,121.907,0.030,0.016,5.000
82928.866,300.140,349.025,122.388,-0.003,-0.017,5.000
82924.834,300.140,349.104,122.708,-0.003,-0.017,5.000
82932.897,300.140,349.183,122.868,-0.003,-0.017,5.000
82932.897,300.143,349.025,122.708,-0.019,-0.017,5.000
82932.897,300.141,349.104,122.868,-0.003,0.005,5.000
82932.897,300.141,348.946,122.868,-0.019,-0.006,5.000
82932.897,300.141,348.867,123.188,-0.003,-0.006,5.000
82928.866,300.138,348.946,123.188,-0.019,-0.006,5.000
82928.866,300.141,348.946,123.348,-0.019,-0.006,5.000
82932.897,300.143,349.025,123.348,-0.003,-0.017,5.000
82928.866,300.141,348.946,123.348,-0.019,-0.017,5.000
82932.897,300.146,349.025,123.348,-0.003,-0.006,5.000
82924.834,300.141,348.946,123.348,-0.019,-0.017,5.000
82932.897,300.146,349.025,123.028,0.030,-0.006,5.000
82928.866,300.145,349.025,123.348,0.030,-0.017,5.000
82928.866,300.143,349.183,123.028,-0.003,-0.027,5.000
82928.866,300.140,349.183,123.348,0.014,-0.006,5.000
82928.866,300.145,349.262,123.028,0.014,0.005,5.000
82932.897,300.140,349.183,122.868,-0.003,-0.006,5.000
82932.897,300.143,349.262,122.708,-0.019,-0.017,5.000
82928.866,300.146,349.262,122.548,0.030,-0.006,5.000
82928.866,300.143,349.341,122.548,-0.003,-0.006,5.000
82928.866,300.141,349.341,122.388,-0.003,-0.017,5.000
82932.897,300.145,349.183,122.708,-0.035,-0.006,5.000
82928.866,300.145,349.420,121.907,-0.019,-0.017,5.000
82928.866,300.145,349.420,122.067,0.014,-0.017,5.000
