%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V],"% Didn't take it at 1.5mm, took it at 1mm"
82824.05,300.251,-347.096,162.367,-0.005,0.532,5,
82828.081,300.253,-347.175,162.047,-0.021,0.543,5,
82820.018,300.251,-347.096,161.727,-0.005,0.543,5,
82828.081,300.251,-347.096,161.887,-0.037,0.51,5,
82832.112,300.251,-347.017,161.567,-0.037,0.51,5,
82828.081,300.251,-347.175,161.887,-0.021,0.521,5,
82828.081,300.253,-347.175,161.567,0.012,0.521,5,
82836.144,300.254,-347.254,161.567,-0.021,0.532,5,
82824.05,300.251,-347.175,161.567,0.012,0.521,5,
82832.112,300.253,-347.175,161.727,-0.037,0.521,5,
82832.112,300.253,-347.254,161.567,0.028,0.521,5,
82832.112,300.249,-347.412,161.887,-0.021,0.521,5,
82828.081,300.251,-347.333,161.567,-0.021,0.521,5,
82820.018,300.254,-347.254,161.727,-0.021,0.532,5,
82832.112,300.249,-347.333,161.727,-0.021,0.532,5,
82832.112,300.251,-347.254,161.567,0.012,0.51,5,
82828.081,300.253,-347.333,161.567,-0.037,0.521,5,
82828.081,300.253,-347.412,161.567,0.012,0.532,5,
82832.112,300.249,-347.491,161.727,-0.037,0.51,5,
82824.05,300.253,-347.491,161.887,-0.005,0.532,5,
82824.05,300.256,-347.333,162.047,-0.037,0.521,5,
82828.081,300.253,-347.333,161.727,-0.021,0.532,5,
82824.05,300.254,-347.412,162.367,-0.021,0.532,5,
82824.05,300.254,-347.333,161.887,-0.021,0.521,5,
82820.018,300.254,-347.333,162.527,-0.005,0.532,5,
82828.081,300.253,-347.254,162.848,-0.021,0.532,5,
82824.05,300.256,-347.333,162.687,-0.005,0.532,5,
82820.018,300.256,-347.333,162.848,-0.005,0.521,5,
82824.05,300.261,-347.333,163.328,-0.021,0.521,5,
82824.05,300.254,-347.333,163.008,-0.005,0.532,5,
82820.018,300.259,-347.175,163.328,-0.021,0.532,5,
82815.987,300.256,-347.254,163.328,-0.037,0.521,5,
82820.018,300.254,-347.175,163.328,-0.005,0.521,5,
82824.05,300.254,-347.254,163.168,-0.021,0.543,5,
82820.018,300.257,-347.254,163.648,-0.005,0.521,5,
82824.05,300.256,-347.175,163.488,-0.005,0.51,5,
82824.05,300.256,-347.175,163.968,-0.005,0.532,5,
82824.05,300.256,-347.175,163.968,-0.021,0.521,5,
82828.081,300.256,-347.175,163.648,-0.005,0.521,5,
82820.018,300.254,-347.096,163.328,-0.021,0.543,5,
82824.05,300.254,-347.096,163.968,-0.005,0.521,5,
82828.081,300.257,-347.175,163.808,-0.037,0.521,5,
82828.081,300.256,-347.175,164.128,-0.021,0.51,5,
82828.081,300.256,-347.096,164.288,-0.021,0.532,5,
82824.05,300.251,-347.096,163.648,-0.005,0.521,5,
82824.05,300.254,-347.175,163.968,-0.021,0.51,5,
82828.081,300.254,-347.096,163.488,-0.005,0.543,5,
82824.05,300.253,-347.017,163.968,0.012,0.51,5,
82828.081,300.254,-347.175,163.648,-0.005,0.521,5,
82840.175,300.253,-347.096,163.328,-0.021,0.521,5,
82828.081,300.254,-347.175,163.488,-0.005,0.521,5,
82824.05,300.253,-347.175,163.488,0.012,0.521,5,
82828.081,300.251,-347.096,163.328,-0.037,0.521,5,
82832.112,300.254,-347.017,163.008,-0.005,0.521,5,
82836.144,300.254,-347.017,162.687,-0.037,0.51,5,
82824.05,300.253,-346.938,162.687,-0.005,0.521,5,
82828.081,300.254,-346.938,162.687,-0.021,0.51,5,
82824.05,300.253,-347.096,162.527,-0.021,0.553,5,
82824.05,300.253,-346.938,162.207,-0.021,0.521,5,
82828.081,300.256,-347.017,161.887,-0.005,0.521,5,
82832.112,300.254,-347.175,161.727,-0.037,0.521,5,
82824.05,300.254,-347.096,161.887,-0.005,0.521,5,
82832.112,300.256,-347.175,161.727,-0.021,0.521,5,
82832.112,300.256,-347.017,161.567,-0.005,0.521,5,
82832.112,300.253,-347.096,161.567,-0.037,0.532,5,
82828.081,300.254,-347.017,161.567,0.028,0.51,5,
82828.081,300.253,-347.017,161.407,-0.021,0.521,5,
82832.112,300.254,-347.017,161.407,-0.021,0.543,5,
82836.144,300.257,-347.175,161.407,-0.021,0.532,5,
82832.112,300.253,-347.096,161.247,-0.053,0.521,5,
82824.05,300.254,-347.096,161.407,0.012,0.532,5,
82824.05,300.257,-347.017,161.247,-0.005,0.532,5,
82824.05,300.254,-346.938,161.407,-0.005,0.521,5,
