%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82807.924,300.269,-21.458,21.358,-177.763,58.698,1.500
82807.924,300.267,-21.458,21.518,-177.780,58.698,1.500
82811.955,300.269,-21.695,21.518,-177.763,58.698,1.500
82803.893,300.269,-21.537,21.518,-177.731,58.687,1.500
82815.987,300.269,-21.537,21.679,-177.780,58.676,1.500
82807.924,300.270,-21.616,21.518,-177.780,58.687,1.500
82807.924,300.267,-21.616,21.679,-177.763,58.687,1.500
82811.955,300.267,-21.616,21.358,-177.747,58.687,1.500
82815.987,300.269,-21.695,21.999,-177.763,58.698,1.500
82807.924,300.269,-21.537,21.679,-177.780,58.698,1.500
82820.018,300.270,-21.695,21.358,-177.780,58.676,1.500
82820.018,300.272,-21.616,21.358,-177.763,58.698,1.500
82807.924,300.272,-21.853,21.518,-177.763,58.698,1.500
82820.018,300.269,-21.616,21.518,-177.763,58.687,1.500
82815.987,300.267,-21.774,21.679,-177.763,58.698,1.500
82815.987,300.269,-21.695,21.679,-177.763,58.709,1.500
82807.924,300.270,-21.695,21.679,-177.747,58.698,1.500
82815.987,300.269,-21.774,21.679,-177.796,58.687,1.500
82811.955,300.266,-21.695,21.679,-177.763,58.687,1.500
82815.987,300.269,-21.537,21.518,-177.763,58.687,1.500
82811.955,300.269,-21.695,21.999,-177.763,58.698,1.500
82820.018,300.269,-21.774,21.679,-177.747,58.687,1.500
82815.987,300.269,-21.774,21.839,-177.780,58.676,1.500
82815.987,300.267,-21.774,21.839,-177.780,58.698,1.500
82811.955,300.267,-21.932,21.999,-177.763,58.709,1.500
82815.987,300.267,-21.932,21.839,-177.763,58.687,1.500
82815.987,300.267,-21.695,21.839,-177.763,58.687,1.500
82807.924,300.269,-21.774,21.999,-177.747,58.687,1.500
82815.987,300.269,-21.853,21.679,-177.747,58.687,1.500
82815.987,300.267,-21.774,21.999,-177.747,58.687,1.500
82815.987,300.269,-21.695,22.159,-177.796,58.676,1.500
82815.987,300.269,-21.695,21.839,-177.780,58.698,1.500
82820.018,300.270,-21.774,22.159,-177.747,58.676,1.500
82807.924,300.269,-21.774,22.159,-177.747,58.687,1.500
82815.987,300.269,-21.695,21.999,-177.747,58.676,1.500
82820.018,300.267,-21.774,21.999,-177.763,58.698,1.500
82811.955,300.270,-21.616,21.839,-177.747,58.687,1.500
82807.924,300.270,-21.695,22.319,-177.763,58.687,1.500
82811.955,300.269,-21.774,21.839,-177.763,58.698,1.500
82811.955,300.269,-21.695,21.839,-177.796,58.709,1.500
82811.955,300.270,-21.695,21.679,-177.763,58.687,1.500
82807.924,300.270,-21.616,21.679,-177.780,58.676,1.500
82811.955,300.270,-21.774,21.839,-177.796,58.698,1.500
82815.987,300.267,-21.616,21.839,-177.747,58.676,1.500
82807.924,300.270,-21.695,21.518,-177.763,58.687,1.500
82811.955,300.269,-21.695,21.679,-177.763,58.698,1.500
82811.955,300.269,-21.616,21.679,-177.780,58.687,1.500
82807.924,300.270,-21.616,21.679,-177.763,58.698,1.500
82811.955,300.267,-21.774,21.679,-177.763,58.687,1.500
82807.924,300.267,-21.695,21.518,-177.763,58.698,1.500
82807.924,300.269,-21.537,21.358,-177.780,58.698,1.500
82820.018,300.272,-21.616,21.518,-177.747,58.687,1.500
82815.987,300.272,-21.537,21.358,-177.763,58.698,1.500
82820.018,300.270,-21.537,21.518,-177.763,58.687,1.500
82811.955,300.269,-21.695,21.679,-177.747,58.676,1.500
82811.955,300.270,-21.537,21.518,-177.780,58.709,1.500
82807.924,300.274,-21.774,21.358,-177.763,58.687,1.500
82807.924,300.269,-21.537,21.518,-177.763,58.687,1.500
82811.955,300.269,-21.616,21.038,-177.763,58.698,1.500
82815.987,300.267,-21.695,21.518,-177.780,58.687,1.500
82811.955,300.269,-21.695,21.358,-177.747,58.687,1.500
82815.987,300.269,-21.695,21.198,-177.763,58.687,1.500
82811.955,300.270,-21.774,21.358,-177.763,58.676,1.500
