%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83315.88,302.531,352.259,106.222,0.004,-0.004,5
83315.88,302.531,352.259,106.382,0.02,-0.014,5
83319.911,302.533,352.338,106.382,-0.013,-0.004,5
83319.911,302.534,352.417,106.382,0.02,-0.014,5
83315.88,302.533,352.259,106.543,0.02,0.018,5
83315.88,302.531,352.417,106.703,0.004,-0.004,5
83307.817,302.533,352.338,106.382,-0.013,0.018,5
83323.942,302.533,352.338,106.543,0.004,0.007,5
83323.942,302.533,352.417,106.543,-0.013,-0.004,5
83323.942,302.534,352.259,106.703,0.004,-0.004,5
83315.88,302.534,352.417,107.023,0.004,0.007,5
83315.88,302.536,352.338,107.023,0.004,-0.014,5
83323.942,302.536,352.338,107.183,0.004,0.007,5
83323.942,302.534,352.417,107.343,0.004,-0.004,5
83315.88,302.538,352.417,107.183,0.004,-0.004,5
83327.974,302.538,352.259,107.663,-0.013,0.007,5
83332.005,302.536,352.259,107.663,0.02,0.007,5
83319.911,302.536,352.259,107.983,0.02,-0.004,5
83319.911,302.538,352.259,107.983,-0.029,0.007,5
83323.942,302.534,352.18,107.983,0.004,-0.004,5
83327.974,302.536,352.101,108.143,-0.029,-0.004,5
83323.942,302.536,352.101,108.464,-0.029,0.007,5
83323.942,302.533,352.101,108.304,-0.013,-0.004,5
83319.911,302.536,352.101,108.624,0.004,0.007,5
83319.911,302.534,351.943,108.464,0.02,-0.014,5
83319.911,302.534,352.022,108.944,0.004,-0.004,5
83323.942,302.536,352.022,109.104,0.036,-0.004,5
83323.942,302.533,351.864,108.944,0.004,-0.014,5
83327.974,302.533,351.943,109.264,-0.029,0.007,5
83319.911,302.534,351.785,109.424,0.02,-0.014,5
83323.942,302.533,351.864,109.104,0.02,0.029,5
83311.848,302.531,351.548,109.264,0.004,-0.004,5
83315.88,302.533,351.548,109.424,-0.013,-0.014,5
83315.88,302.533,351.469,109.424,0.004,-0.014,5
83315.88,302.531,351.548,109.584,-0.029,0.007,5
83315.88,302.53,351.469,109.744,0.004,-0.004,5
83315.88,302.53,351.39,109.584,0.004,0.007,5
83315.88,302.531,351.39,109.744,-0.029,0.007,5
83319.911,302.531,351.39,109.584,0.004,0.007,5
83319.911,302.53,351.232,109.424,-0.013,0.007,5
83311.848,302.53,351.153,109.904,-0.029,-0.004,5
83319.911,302.531,351.311,109.584,0.004,-0.014,5
83319.911,302.533,351.232,109.584,-0.013,-0.004,5
83319.911,302.531,351.232,109.584,0.004,-0.004,5
83311.848,302.531,351.232,109.584,-0.013,-0.004,5
83319.911,302.531,351.232,109.264,0.004,-0.004,5
83319.911,302.53,351.153,109.104,0.004,0.018,5
83319.911,302.53,351.074,109.584,0.036,0.007,5
83311.848,302.528,350.916,109.424,-0.013,0.007,5
83311.848,302.533,351.074,109.424,-0.013,0.029,5
83315.88,302.531,351.074,109.424,0.004,-0.004,5
83319.911,302.533,351.153,109.264,0.004,-0.025,5
83315.88,302.533,350.995,109.584,-0.029,-0.014,5
83315.88,302.534,350.995,109.584,0.004,0.007,5
83315.88,302.534,350.916,109.744,0.004,0.007,5
83307.817,302.534,350.995,109.424,0.02,0.007,5
83307.817,302.536,350.837,109.904,0.004,-0.025,5
83315.88,302.534,350.837,109.744,-0.013,-0.014,5
83311.848,302.534,350.995,109.744,0.036,-0.004,5
83311.848,302.536,350.995,110.065,0.004,0.007,5
83315.88,302.534,350.837,110.385,0.004,-0.004,5
83307.817,302.534,350.916,110.705,0.02,0.007,5
83315.88,302.538,350.916,110.225,0.004,0.007,5
83315.88,302.531,350.916,110.705,0.036,0.007,5
83315.88,302.536,350.916,110.865,0.004,0.018,5
83311.848,302.534,350.995,111.025,0.02,-0.004,5
83315.88,302.534,350.995,111.345,0.004,0.007,5
83311.848,302.534,350.995,111.505,-0.013,-0.004,5
83315.88,302.534,350.679,111.345,-0.029,0.007,5
83311.848,302.531,350.837,111.505,0.004,-0.004,5
83319.911,302.533,350.916,111.665,0.02,-0.004,5
83315.88,302.536,350.837,111.826,0.004,0.007,5
83315.88,302.534,350.758,112.146,-0.013,-0.014,5
83315.88,302.534,350.679,111.826,0.02,-0.004,5
83319.911,302.533,350.679,112.306,0.004,-0.004,5
83319.911,302.534,350.6,112.306,-0.029,-0.004,5
83315.88,302.533,350.6,112.146,0.004,-0.004,5
83315.88,302.533,350.6,112.626,0.02,0.007,5
83315.88,302.533,350.521,112.466,0.036,-0.004,5
83311.848,302.534,350.521,112.786,0.004,0.007,5
83315.88,302.533,350.6,112.626,0.004,-0.014,5
83319.911,302.534,350.362,112.466,0.004,-0.036,5
83319.911,302.53,350.442,112.786,-0.013,0.007,5
83315.88,302.531,350.283,112.626,0.004,-0.014,5
83315.88,302.528,350.442,112.786,0.02,-0.025,5
83319.911,302.534,350.362,112.466,-0.013,-0.004,5
83315.88,302.53,350.362,112.786,0.02,-0.004,5
83311.848,302.53,350.204,112.466,-0.013,-0.014,5
83307.817,302.533,350.204,112.626,-0.013,-0.014,5
83315.88,302.531,350.204,112.626,-0.013,-0.004,5
83319.911,302.531,349.967,112.466,0.004,0.007,5
83307.817,302.531,349.967,112.626,0.004,-0.004,5
83311.848,302.528,350.046,112.626,0.036,0.007,5
83319.911,302.531,349.967,112.466,0.004,-0.014,5
83315.88,302.528,350.046,112.466,0.004,-0.004,5
83311.848,302.531,349.967,112.466,0.036,0.007,5
83315.88,302.531,350.046,112.626,0.004,-0.004,5
83315.88,302.526,349.967,112.306,0.02,-0.004,5
83315.88,302.531,349.888,112.466,0.02,-0.004,5
83311.848,302.531,349.967,112.146,0.004,0.018,5
83311.848,302.533,349.809,112.306,0.004,0.007,5
83311.848,302.53,350.046,112.306,0.004,0.007,5
83319.911,302.53,349.967,112.626,0.004,0.018,5
83315.88,302.53,349.809,112.306,0.02,-0.014,5
83319.911,302.528,349.967,112.786,-0.029,0.007,5
83315.88,302.528,349.967,112.626,-0.013,-0.004,5
83319.911,302.531,349.967,112.946,0.004,-0.004,5
83319.911,302.53,349.888,112.786,-0.013,-0.014,5
83323.942,302.531,350.046,112.946,0.02,-0.004,5
83323.942,302.531,349.888,113.106,0.02,-0.004,5
83319.911,302.533,349.967,112.786,0.004,-0.004,5
83319.911,302.533,349.809,112.946,0.004,-0.004,5
83319.911,302.531,350.046,113.106,0.036,-0.014,5
83323.942,302.53,350.125,113.266,0.004,-0.004,5
83315.88,302.531,349.967,113.587,-0.029,0.007,5
83315.88,302.528,350.046,113.427,-0.013,-0.014,5
83319.911,302.531,350.125,113.747,0.004,-0.004,5
83319.911,302.531,350.204,114.067,0.004,-0.014,5
83323.942,302.531,350.125,113.907,-0.013,-0.004,5
83319.911,302.531,350.283,114.067,-0.013,0.007,5
83319.911,302.53,350.362,114.227,-0.013,0.007,5
83319.911,302.53,350.283,113.907,-0.013,-0.004,5
83327.974,302.533,350.204,114.227,0.02,0.007,5
83315.88,302.534,350.125,114.067,0.004,0.018,5
83319.911,302.533,350.283,113.907,0.004,0.018,5
83319.911,302.53,350.283,114.227,0.004,-0.004,5
83323.942,302.531,350.362,114.067,0.004,-0.004,5
83315.88,302.531,350.362,114.387,0.004,-0.004,5
83319.911,302.531,350.283,114.227,0.004,-0.025,5
83315.88,302.53,350.362,114.067,0.004,0.007,5
83311.848,302.531,350.521,114.227,-0.013,-0.004,5
83319.911,302.533,350.283,113.907,-0.029,-0.004,5
83311.848,302.53,350.442,114.067,0.004,-0.014,5
83311.848,302.53,350.362,113.747,-0.013,-0.025,5
83315.88,302.531,350.521,113.266,0.004,-0.014,5
83315.88,302.533,350.442,113.427,0.02,-0.014,5
83307.817,302.533,350.6,113.266,0.004,-0.014,5
83319.911,302.533,350.442,113.106,0.004,-0.014,5
83311.848,302.533,350.442,113.106,0.004,0.018,5
83315.88,302.531,350.521,112.946,0.036,-0.004,5
83311.848,302.53,350.442,112.786,0.004,-0.014,5
83307.817,302.531,350.442,112.466,0.004,-0.025,5
83311.848,302.531,350.442,112.466,0.004,-0.004,5
83311.848,302.533,350.362,112.466,0.02,0.007,5
83307.817,302.531,350.362,112.626,-0.013,0.007,5
83311.848,302.53,350.362,111.986,-0.029,-0.014,5
83311.848,302.533,350.125,111.986,-0.029,-0.004,5
83315.88,302.534,350.283,111.665,0.004,-0.004,5
83307.817,302.531,350.283,111.826,-0.029,-0.004,5
83311.848,302.53,350.204,111.665,0.004,0.007,5
83315.88,302.531,350.362,111.505,0.02,0.007,5
83311.848,302.531,350.283,111.345,0.036,-0.014,5
83311.848,302.531,350.283,111.345,0.004,0.018,5
83319.911,302.534,350.125,111.505,0.02,0.007,5
83311.848,302.533,350.125,111.345,0.02,-0.004,5
83319.911,302.533,350.204,111.025,-0.013,-0.004,5
83319.911,302.533,350.046,111.345,0.004,-0.014,5
83323.942,302.531,350.125,111.185,0.004,-0.025,5
83319.911,302.531,350.046,111.505,0.02,0.007,5
83315.88,302.531,349.888,111.345,0.004,0.007,5
83315.88,302.533,349.73,111.185,0.02,-0.025,5
83319.911,302.53,349.967,111.185,-0.013,-0.014,5
83323.942,302.534,349.888,111.505,-0.029,0.007,5
83319.911,302.53,349.73,111.665,-0.013,-0.004,5
83315.88,302.53,349.809,111.345,0.02,-0.014,5
83319.911,302.533,349.809,111.345,-0.013,-0.025,5
83311.848,302.531,349.73,111.505,0.02,0.007,5
83315.88,302.53,349.809,111.505,-0.013,-0.014,5
83315.88,302.528,349.73,111.665,-0.013,-0.004,5
83311.848,302.53,349.572,111.665,-0.013,0.018,5
83311.848,302.531,349.73,111.665,0.004,0.007,5
83311.848,302.531,349.651,111.505,-0.013,-0.004,5
83307.817,302.528,349.493,111.665,0.02,-0.004,5
83315.88,302.531,349.414,111.665,0.004,0.007,5
83311.848,302.531,349.493,111.665,0.004,-0.014,5
83315.88,302.53,349.335,111.505,0.036,0.007,5
83315.88,302.531,349.572,111.505,0.004,-0.004,5
83315.88,302.53,349.493,111.505,0.02,-0.004,5
83315.88,302.536,349.256,111.345,-0.013,-0.004,5
83307.817,302.53,349.414,111.345,0.004,-0.004,5
83315.88,302.531,349.256,111.345,-0.013,0.007,5
83323.942,302.531,349.256,111.505,0.004,0.007,5
83311.848,302.531,349.256,111.025,0.02,-0.014,5
83315.88,302.53,349.177,111.185,-0.013,-0.014,5
83319.911,302.531,349.019,111.025,0.004,-0.014,5
83319.911,302.533,349.019,110.865,-0.013,0.007,5
83315.88,302.531,348.94,110.865,-0.013,-0.004,5
83319.911,302.531,348.861,110.545,0.02,-0.004,5
83311.848,302.534,348.861,110.545,0.02,0.007,5
83311.848,302.533,348.94,110.385,-0.013,-0.004,5
83315.88,302.534,349.019,110.225,-0.013,-0.014,5
83327.974,302.531,348.861,110.065,-0.013,0.007,5
83319.911,302.534,348.703,110.065,0.004,0.007,5
83315.88,302.533,348.624,109.904,-0.013,0.018,5
83307.817,302.53,348.703,109.584,0.02,0.007,5
83315.88,302.531,348.624,109.744,-0.013,-0.004,5
83315.88,302.531,348.624,109.584,0.004,0.007,5
83311.848,302.531,348.545,109.424,0.004,0.007,5
83315.88,302.531,348.624,109.264,0.004,-0.014,5
83311.848,302.531,349.967,112.146,0.004,0.018,5
83311.848,302.533,349.809,112.306,0.004,0.007,5
83311.848,302.53,350.046,112.306,0.004,0.007,5
83319.911,302.53,349.967,112.626,0.004,0.018,5
83315.88,302.53,349.809,112.306,0.02,-0.014,5
83319.911,302.528,349.967,112.786,-0.029,0.007,5
83315.88,302.528,349.967,112.626,-0.013,-0.004,5
83319.911,302.531,349.967,112.946,0.004,-0.004,5
83319.911,302.53,349.888,112.786,-0.013,-0.014,5
83323.942,302.531,350.046,112.946,0.02,-0.004,5
83323.942,302.531,349.888,113.106,0.02,-0.004,5
83319.911,302.533,349.967,112.786,0.004,-0.004,5
83319.911,302.533,349.809,112.946,0.004,-0.004,5
83319.911,302.531,350.046,113.106,0.036,-0.014,5
83323.942,302.53,350.125,113.266,0.004,-0.004,5
83315.88,302.531,349.967,113.587,-0.029,0.007,5
83315.88,302.528,350.046,113.427,-0.013,-0.014,5
83319.911,302.531,350.125,113.747,0.004,-0.004,5
83319.911,302.531,350.204,114.067,0.004,-0.014,5
83323.942,302.531,350.125,113.907,-0.013,-0.004,5
83319.911,302.531,350.283,114.067,-0.013,0.007,5
83319.911,302.53,350.362,114.227,-0.013,0.007,5
83319.911,302.53,350.283,113.907,-0.013,-0.004,5
83327.974,302.533,350.204,114.227,0.02,0.007,5
83315.88,302.534,350.125,114.067,0.004,0.018,5
83319.911,302.533,350.283,113.907,0.004,0.018,5
83319.911,302.53,350.283,114.227,0.004,-0.004,5
83323.942,302.531,350.362,114.067,0.004,-0.004,5
83315.88,302.531,350.362,114.387,0.004,-0.004,5
83319.911,302.531,350.283,114.227,0.004,-0.025,5
83315.88,302.53,350.362,114.067,0.004,0.007,5
83311.848,302.531,350.521,114.227,-0.013,-0.004,5
83319.911,302.533,350.283,113.907,-0.029,-0.004,5
83311.848,302.53,350.442,114.067,0.004,-0.014,5
83311.848,302.53,350.362,113.747,-0.013,-0.025,5
83315.88,302.531,350.521,113.266,0.004,-0.014,5
83315.88,302.533,350.442,113.427,0.02,-0.014,5
83307.817,302.533,350.6,113.266,0.004,-0.014,5
83319.911,302.533,350.442,113.106,0.004,-0.014,5
83311.848,302.533,350.442,113.106,0.004,0.018,5
83315.88,302.531,350.521,112.946,0.036,-0.004,5
83311.848,302.53,350.442,112.786,0.004,-0.014,5
83307.817,302.531,350.442,112.466,0.004,-0.025,5
83311.848,302.531,350.442,112.466,0.004,-0.004,5
83311.848,302.533,350.362,112.466,0.02,0.007,5
