%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82880.489,301.804,39.655,31.482,-301.724,213.621,2.000
82880.489,301.807,39.734,31.322,-301.724,213.631,2.000
82880.489,301.806,39.734,31.322,-301.740,213.621,2.000
82880.489,301.806,39.734,31.322,-301.757,213.621,2.000
82880.489,301.806,39.734,31.322,-301.740,213.621,2.000
82880.489,301.802,39.813,31.162,-301.724,213.611,2.000
82876.458,301.804,39.734,31.162,-301.724,213.621,2.000
82876.458,301.804,39.813,31.162,-301.757,213.621,2.000
82876.458,301.807,39.813,31.482,-301.740,213.621,2.000
82876.458,301.804,39.734,31.162,-301.757,213.621,2.000
82876.458,301.806,39.655,31.482,-301.724,213.642,2.000
82876.458,301.806,39.734,31.322,-301.740,213.621,2.000
82872.426,301.806,39.813,31.162,-301.708,213.631,2.000
82872.426,301.804,39.734,31.322,-301.773,213.621,2.000
82876.458,301.807,39.892,31.322,-301.724,213.621,2.000
82868.395,301.806,39.813,31.322,-301.740,213.621,2.000
82872.426,301.806,39.734,31.322,-301.724,213.611,2.000
82880.489,301.807,39.813,31.322,-301.740,213.621,2.000
82876.458,301.809,39.813,31.482,-301.724,213.621,2.000
82880.489,301.802,39.813,31.482,-301.724,213.621,2.000
82876.458,301.804,39.892,31.482,-301.740,213.611,2.000
82868.395,301.806,39.813,31.322,-301.724,213.621,2.000
82876.458,301.804,39.971,31.642,-301.740,213.621,2.000
82876.458,301.806,39.813,31.162,-301.740,213.601,2.000
82872.426,301.804,39.892,31.642,-301.740,213.621,2.000
82876.458,301.804,39.813,31.642,-301.708,213.631,2.000
82876.458,301.802,39.892,31.482,-301.757,213.621,2.000
82868.395,301.802,39.892,31.642,-301.724,213.621,2.000
82876.458,301.802,39.813,31.802,-301.740,213.621,2.000
82876.458,301.806,39.892,31.802,-301.708,213.621,2.000
82876.458,301.806,39.892,31.802,-301.724,213.611,2.000
82876.458,301.806,39.734,32.122,-301.757,213.631,2.000
82872.426,301.806,39.892,31.962,-301.724,213.611,2.000
82872.426,301.804,39.813,31.802,-301.740,213.611,2.000
82876.458,301.802,39.813,31.962,-301.724,213.611,2.000
82876.458,301.806,39.655,32.122,-301.724,213.611,2.000
82876.458,301.806,39.892,32.122,-301.724,213.611,2.000
82872.426,301.804,39.892,31.962,-301.724,213.611,2.000
82876.458,301.806,39.892,31.802,-301.740,213.642,2.000
82876.458,301.807,39.734,32.122,-301.740,213.621,2.000
82880.489,301.809,39.813,32.122,-301.724,213.621,2.000
82876.458,301.807,39.892,32.122,-301.757,213.621,2.000
82876.458,301.809,39.655,31.802,-301.724,213.621,2.000
82876.458,301.806,39.813,31.962,-301.773,213.611,2.000
82872.426,301.807,39.971,32.122,-301.773,213.611,2.000
82872.426,301.806,39.734,32.122,-301.740,213.621,2.000
82872.426,301.809,39.892,31.802,-301.757,213.621,2.000
82876.458,301.809,39.971,32.122,-301.757,213.601,2.000
82876.458,301.807,39.892,32.122,-301.740,213.601,2.000
82868.395,301.809,39.813,31.962,-301.724,213.631,2.000
82880.489,301.809,39.892,32.122,-301.724,213.621,2.000
82876.458,301.810,39.892,31.962,-301.724,213.621,2.000
82876.458,301.807,39.892,32.282,-301.757,213.601,2.000
82872.426,301.810,39.892,32.443,-301.708,213.621,2.000
82880.489,301.810,39.892,32.282,-301.757,213.621,2.000
82876.458,301.807,39.892,32.282,-301.724,213.611,2.000
82884.520,301.807,39.892,32.122,-301.724,213.601,2.000
82888.552,301.807,39.892,31.962,-301.740,213.621,2.000
82880.489,301.806,39.892,32.282,-301.757,213.611,2.000
82876.458,301.802,39.813,32.122,-301.757,213.621,2.000
82880.489,301.806,40.050,32.122,-301.757,213.621,2.000
82868.395,301.806,39.971,32.282,-301.757,213.611,2.000
82876.458,301.806,40.050,32.443,-301.740,213.621,2.000
82880.489,301.806,39.971,32.282,-301.724,213.621,2.000
82884.520,301.807,40.208,32.443,-301.724,213.601,2.000
82880.489,301.802,40.050,32.282,-301.740,213.621,2.000
82876.458,301.802,40.050,32.122,-301.724,213.621,2.000
82880.489,301.804,40.050,32.282,-301.757,213.621,2.000
82876.458,301.807,40.287,32.122,-301.740,213.611,2.000
82872.426,301.802,40.050,32.282,-301.724,213.642,2.000
82872.426,301.804,40.050,32.603,-301.724,213.621,2.000
82876.458,301.802,40.050,32.603,-301.740,213.631,2.000
82876.458,301.804,40.129,32.603,-301.740,213.611,2.000
82872.426,301.802,40.129,32.763,-301.740,213.631,2.000
82876.458,301.801,40.050,32.923,-301.757,213.631,2.000
82868.395,301.804,40.208,32.923,-301.773,213.611,2.000
82868.395,301.804,40.129,32.923,-301.740,213.631,2.000
82876.458,301.801,40.208,32.763,-301.740,213.621,2.000
82864.363,301.802,40.050,32.923,-301.740,213.601,2.000
82876.458,301.806,40.050,32.763,-301.740,213.611,2.000
82864.363,301.801,40.129,32.763,-301.757,213.611,2.000
82864.363,301.804,40.129,33.083,-301.757,213.621,2.000
82868.395,301.806,40.050,32.923,-301.740,213.631,2.000
82868.395,301.804,40.208,32.923,-301.757,213.621,2.000
82872.426,301.806,40.208,32.763,-301.757,213.611,2.000
82868.395,301.804,40.129,32.763,-301.724,213.621,2.000
82864.363,301.806,40.287,33.083,-301.740,213.611,2.000
