%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83811.741,302.709,0.965,8.958,38.697,1.937,-3.674,18.975,4.709,-9.915,-11.766,-15.872,-16.868,-14.979,-8.929,-13.335,-18.027,-30.05,-23.201,-24.34,-25.29,-24.423,-9,-544.798,-289.718,14.557,-320.54,102.185
83803.679,302.709,0.964,8.949,38.618,2.097,-4.322,17.304,4.281,-9.811,-11.658,-16.391,-16.228,-15.514,-8.929,-13.022,-18.554,-29.838,-22.888,-23.504,-24.668,-24.648,-9,-544.798,-289.718,14.557,-320.524,102.185
83807.71,302.709,0.964,8.967,38.776,2.097,-3.458,17.081,3.853,-10.228,-11.658,-16.598,-16.655,-15.3,-10.269,-12.71,-18.449,-30.05,-22.888,-22.982,-24.357,-24.423,-9,-544.798,-289.718,14.557,-320.557,102.196
83807.71,302.707,0.965,8.967,38.776,1.937,-3.025,18.532,3.425,-9.811,-11.119,-16.598,-16.761,-15.193,-9.264,-14.689,-18.976,-29.307,-22.365,-22.878,-23.321,-23.41,-9,-544.798,-289.718,14.557,-320.573,102.218
83807.71,302.709,0.964,8.958,38.697,2.097,-2.917,17.75,4.174,-10.541,-11.658,-16.495,-16.228,-15.3,-8.818,-15.419,-19.081,-28.882,-22.261,-23.191,-23.217,-22.959,-9,-544.798,-289.718,14.557,-320.557,102.196
83803.679,302.709,0.964,8.967,38.776,2.097,-1.621,17.416,3.211,-10.228,-12.738,-16.394,-16.655,-14.979,-8.706,-17.398,-18.343,-29.838,-22.679,-22.773,-23.217,-22.959,-9,-544.798,-289.718,14.557,-320.557,102.185
83803.679,302.705,0.964,8.958,38.697,2.257,-2.161,17.527,3.318,-9.915,-11.874,-17.327,-17.188,-15.407,-8.929,-18.023,-18.765,-28.989,-22.992,-22.042,-22.699,-22.284,-9,-544.798,-289.718,14.557,-320.573,102.185
83795.616,302.71,0.964,8.968,38.776,2.097,-1.729,17.974,3.853,-10.437,-11.874,-16.912,-17.615,-15.835,-9.153,-17.502,-18.871,-28.989,-21.425,-22.355,-23.01,-22.847,-9,-544.798,-289.718,14.557,-320.557,102.196
83807.71,302.707,0.965,8.967,38.776,2.257,-1.837,18.197,3.211,-9.706,-11.766,-17.12,-17.082,-17.012,-9.934,-17.19,-19.081,-28.564,-21.007,-21.833,-23.217,-22.734,-9,-544.798,-289.718,14.557,-320.557,102.196
83807.71,302.709,0.964,8.976,38.855,2.257,-1.297,17.75,3.96,-10.228,-11.766,-17.12,-16.975,-16.156,-9.711,-16.877,-20.346,-27.714,-19.753,-22.982,-22.802,-24.31,-9,-544.798,-289.718,14.557,-320.557,102.175
83803.679,302.707,0.964,8.958,38.697,2.097,-1.837,17.974,3.318,-10.019,-12.09,-17.016,-17.509,-16.263,-9.264,-17.815,-20.346,-25.803,-20.589,-23.295,-23.01,-22.734,-9,-544.798,-289.718,14.557,-320.573,102.196
83803.679,302.707,0.964,8.958,38.697,2.097,-2.593,17.639,4.067,-10.854,-11.874,-16.497,-17.082,-16.049,-9.487,-17.502,-19.186,-26.33,-21.425,-22.669,-23.113,-22.622,-9,-544.798,-289.718,14.557,-320.557,102.185
83799.647,302.707,0.964,8.967,38.776,2.257,-1.405,16.857,3.318,-10.124,-11.874,-16.809,-17.188,-15.728,-9.487,-16.981,-16.34,-28.241,-21.637,-23.713,-23.113,-23.185,-9,-544.798,-289.718,14.557,-320.557,102.175
83803.679,302.707,0.964,8.967,38.776,2.097,-1.513,17.862,3.104,-10.228,-11.766,-17.639,-17.082,-16.37,-9.934,-15.523,-14.864,-28.241,-23.309,-23.299,-24.564,-23.522,-9,-544.798,-289.718,14.557,-320.557,102.196
83803.679,302.707,0.964,8.967,38.776,2.097,-1.837,18.197,4.174,-11.376,-12.306,-17.327,-17.936,-16.37,-10.492,-12.502,-14.653,-28.984,-22.891,-24.03,-24.457,-24.423,-9,-544.798,-289.718,14.557,-320.557,102.196
83815.773,302.71,0.965,8.967,38.776,2.257,-2.593,17.527,3.532,-10.75,-12.954,-17.639,-17.829,-17.333,-10.715,-10.001,-15.918,-30.47,-22.682,-23.926,-25.804,-25.998,-9,-544.798,-289.718,14.557,-320.54,102.185
83803.679,302.71,0.964,8.967,38.776,2.417,-3.89,17.192,2.89,-11.063,-12.09,-17.535,-18.576,-16.905,-10.715,-8.543,-17.816,-29.833,-22.682,-24.866,-26.115,-28.024,-9,-544.798,-289.718,14.557,-320.557,102.185
83803.679,302.71,0.964,8.958,38.697,2.417,-4.647,17.75,3.746,-10.75,-12.414,-17.431,-18.043,-16.798,-10.045,-9.064,-17.394,-31.426,-22.996,-26.955,-26.944,-28.136,-9,-544.798,-289.718,14.557,-320.524,102.196
