%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
81949.237,302.102,0.945,8.983,38.128,1.945,-3.891,18.755,4.175,-12.629,-15.005,-22.207,-24.452,-24.505,-19.533,-19.797,-17.922,-23.149,-15.159,-17.657,-18.449,-19.921,-13.000,-544.798,-289.718,14.557,-320.442,102.282
81949.237,302.101,0.945,8.992,38.207,1.945,-3.134,18.531,3.747,-11.898,-16.408,-22.311,-24.239,-25.254,-19.980,-20.318,-16.341,-23.255,-15.472,-16.403,-18.864,-19.696,-13.000,-544.798,-289.718,14.557,-320.442,102.271
81953.269,302.101,0.945,8.983,38.128,1.945,-3.351,17.638,3.532,-12.316,-15.221,-22.830,-24.773,-25.468,-19.868,-19.901,-17.500,-21.981,-14.636,-16.508,-18.553,-20.259,-13.000,-544.798,-289.718,14.557,-320.442,102.261
81949.237,302.101,0.945,9.002,38.286,1.625,-3.134,18.755,3.961,-12.211,-15.545,-22.207,-24.773,-24.826,-18.863,-20.422,-16.868,-21.981,-14.636,-17.030,-18.657,-19.808,-13.000,-544.798,-289.718,14.557,-320.442,102.271
81945.206,302.101,0.945,8.983,38.128,1.945,-3.999,18.420,4.068,-11.898,-15.653,-21.896,-23.598,-25.682,-18.640,-19.797,-16.762,-22.511,-15.159,-15.986,-18.553,-19.921,-13.000,-544.798,-289.718,14.557,-320.442,102.271
81949.237,302.099,0.945,8.992,38.207,1.945,-2.270,18.197,3.639,-11.689,-14.897,-22.207,-24.559,-24.077,-19.087,-18.964,-15.603,-22.511,-14.218,-16.403,-18.035,-19.921,-13.000,-544.798,-289.718,14.557,-320.459,102.271
81945.206,302.101,0.945,8.992,38.207,2.105,-3.026,19.425,3.425,-11.272,-15.221,-22.726,-23.918,-24.291,-18.305,-18.964,-15.708,-21.662,-15.159,-15.881,-17.724,-19.583,-13.000,-544.798,-289.718,14.557,-320.442,102.271
81953.269,302.102,0.945,8.983,38.128,2.105,-2.702,18.978,4.389,-12.420,-14.897,-22.311,-24.025,-24.398,-18.863,-18.026,-15.813,-21.981,-14.427,-17.135,-18.138,-19.246,-13.000,-544.798,-289.718,14.557,-320.475,102.261
81941.175,302.102,0.945,8.993,38.207,1.785,-3.026,18.420,3.854,-11.689,-15.545,-22.000,-24.132,-25.254,-17.971,-17.818,-14.970,-22.511,-14.950,-16.194,-18.346,-19.021,-13.000,-544.798,-289.718,14.557,-320.459,102.261
81941.175,302.104,0.945,8.974,38.049,1.945,-2.486,17.973,3.532,-11.481,-15.221,-23.038,-24.239,-24.291,-18.640,-17.192,-15.603,-22.618,-15.263,-16.612,-17.724,-20.146,-13.000,-544.798,-289.718,14.557,-320.442,102.271
81949.237,302.104,0.945,8.992,38.207,1.785,-2.810,18.755,3.747,-11.585,-15.113,-22.207,-24.773,-24.719,-17.301,-17.922,-16.024,-22.618,-15.159,-16.821,-17.931,-19.358,-13.000,-544.798,-289.718,14.557,-320.459,102.250
81949.237,302.102,0.945,8.974,38.049,1.785,-3.134,18.531,4.389,-12.629,-15.329,-21.896,-23.812,-24.505,-18.082,-16.463,-16.868,-22.299,-15.472,-16.717,-18.346,-19.583,-13.000,-544.798,-289.718,14.557,-320.426,102.271
81949.237,302.102,0.945,8.983,38.128,1.785,-2.594,17.973,4.175,-11.794,-15.437,-22.000,-24.025,-24.184,-17.859,-17.192,-16.341,-22.936,-15.784,-16.194,-17.931,-20.033,-13.000,-544.798,-289.718,14.557,-320.475,102.261
