%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83565.826,302.194,0.963,8.962,38.685,-5.187,-10.266,17.527,5.136,-9.08,-11.009,-14.629,-13.665,-11.446,-6.474,-7.604,-13.599,-33.554,-32.507,-34.687,-35.13,-34.996,-8,-544.798,-289.718,14.557,-320.54,102.196
83561.795,302.194,0.963,8.971,38.764,-5.187,-10.59,18.867,4.173,-9.497,-9.714,-14.629,-13.772,-11.66,-5.804,-8.541,-14.337,-31.536,-31.985,-33.851,-34.198,-33.983,-8,-544.798,-289.718,14.557,-320.54,102.196
83565.826,302.196,0.963,8.962,38.685,-5.187,-9.942,18.978,4.495,-9.289,-10.577,-14.422,-13.985,-11.553,-6.027,-8.333,-14.759,-32.174,-31.776,-34.269,-34.198,-34.433,-8,-544.798,-289.718,14.557,-320.557,102.185
83569.858,302.193,0.963,8.962,38.685,-5.187,-10.158,18.197,4.602,-8.663,-10.793,-14.837,-13.345,-12.088,-6.585,-8.958,-13.072,-32.917,-30.835,-33.328,-34.612,-34.883,-8,-544.798,-289.718,14.557,-320.557,102.185
83565.826,302.193,0.963,8.953,38.606,-5.347,-10.158,18.532,4.495,-9.289,-10.145,-15.563,-14.092,-11.553,-5.916,-9.791,-12.44,-33.023,-31.253,-33.224,-34.301,-36.121,-8,-544.798,-289.718,14.557,-320.573,102.175
83561.795,302.196,0.963,8.971,38.764,-5.347,-10.698,18.532,4.388,-8.976,-10.361,-14.005,-14.306,-11.553,-5.804,-9.166,-13.915,-33.66,-30.626,-33.328,-34.198,-35.671,-8,-544.798,-289.718,14.557,-320.557,102.175
83569.858,302.194,0.963,8.962,38.685,-5.187,-11.779,17.639,4.495,-8.767,-10.145,-14.731,-13.343,-12.195,-6.362,-9.791,-14.97,-33.554,-30.626,-33.015,-34.612,-36.571,-8,-544.798,-289.718,14.557,-320.54,102.196
83565.826,302.193,0.963,8.971,38.764,-5.187,-11.239,17.75,4.388,-8.871,-10.361,-14.731,-13.77,-11.448,-6.809,-6.666,-16.129,-33.66,-30.73,-33.746,-33.991,-37.021,-8,-544.798,-289.718,14.557,-320.557,102.175
83569.858,302.194,0.963,8.971,38.764,-5.027,-12.103,18.867,4.067,-8.558,-10.145,-14.42,-13.023,-11.769,-5.803,-5.416,-16.34,-32.917,-31.358,-34.478,-35.441,-37.246,-8,-544.798,-289.718,14.557,-320.508,102.185
83561.795,302.194,0.963,8.971,38.764,-5.187,-12.319,18.755,4.816,-9.498,-9.821,-14.524,-14.304,-11.555,-5.803,-5.73,-16.867,-33.235,-31.462,-35.209,-36.063,-37.246,-8,-544.798,-289.718,14.557,-320.524,102.185
