%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83993.154,302.365,0.968,9.113,40.187,14.456,30.528,-9.808,-19.556,-25.780,-18.136,-16.913,27.382,-17.550,-15.515,-3.230,-1.054,-7.539,-2.927,-7.418,-14.304,-19.809,0.000,-544.798,-289.718,14.557,-321.013,102.218
83997.186,302.367,0.968,9.113,40.187,14.456,31.719,-10.700,-19.983,-24.945,-18.567,-17.224,27.061,-16.587,-15.627,-3.438,-0.211,-8.601,-2.718,-7.209,-13.993,-19.358,0.000,-544.798,-289.718,14.557,-320.997,102.228
83997.186,302.367,0.968,9.104,40.108,14.296,31.394,-9.920,-20.518,-25.258,-18.567,-17.535,27.703,-16.480,-14.957,-3.021,-0.843,-7.645,-3.031,-7.105,-13.889,-19.584,0.000,-544.798,-289.718,14.557,-320.981,102.228
84001.217,302.365,0.968,9.104,40.108,14.456,31.394,-9.697,-18.915,-25.258,-18.351,-16.809,27.061,-17.336,-14.511,-3.334,-0.527,-7.752,-2.509,-8.254,-14.200,-19.471,0.000,-544.798,-289.718,14.557,-320.997,102.239
83989.123,302.365,0.968,9.114,40.187,14.456,31.827,-9.808,-19.663,-24.736,-18.567,-17.016,26.954,-17.978,-14.845,-3.230,-0.000,-7.645,-3.031,-6.896,-14.304,-19.809,0.000,-544.798,-289.718,14.557,-321.013,102.228
84001.217,302.362,0.968,9.104,40.108,14.616,31.502,-9.920,-19.663,-25.362,-17.704,-17.120,27.382,-17.015,-14.957,-3.125,-0.211,-7.964,-2.613,-7.105,-13.578,-20.034,0.000,-544.798,-289.718,14.557,-320.981,102.218
84001.217,302.365,0.968,9.086,39.949,14.616,30.961,-9.585,-20.197,-25.049,-18.244,-16.913,27.378,-17.015,-14.399,-4.584,0.423,-8.070,-2.718,-7.000,-14.096,-19.246,0.000,-544.798,-289.718,14.557,-320.997,102.228
84001.217,302.367,0.968,9.086,39.949,14.616,30.853,-9.808,-19.663,-25.467,-18.351,-17.328,27.592,-17.978,-14.176,-3.230,-1.265,-7.752,-2.718,-6.687,-14.304,-19.584,0.000,-544.798,-289.718,14.557,-321.030,102.239
83997.186,302.360,0.968,9.104,40.108,14.456,31.502,-10.700,-20.090,-25.258,-18.351,-17.431,26.736,-16.480,-14.733,-3.542,-0.211,-8.389,-2.822,-7.314,-14.615,-19.471,0.000,-544.798,-289.718,14.557,-320.981,102.218
84001.217,302.363,0.968,9.086,39.949,14.616,31.069,-9.697,-20.518,-24.945,-17.920,-17.743,27.164,-17.336,-13.729,-3.959,-0.422,-7.539,-3.554,-7.209,-14.304,-19.584,0.000,-544.798,-289.718,14.557,-320.997,102.239
83997.186,302.363,0.968,9.104,40.108,14.616,30.853,-10.031,-19.235,-25.258,-18.028,-16.705,26.950,-17.015,-13.952,-3.334,-0.422,-8.389,-2.195,-8.045,-14.304,-19.584,0.000,-544.798,-289.718,14.557,-320.981,102.228
83997.186,302.363,0.968,9.113,40.187,14.456,31.286,-10.254,-20.197,-24.945,-18.783,-16.809,27.164,-17.550,-14.510,-3.334,-0.738,-8.283,-3.031,-7.209,-14.822,-19.246,0.000,-544.798,-289.718,14.557,-320.997,102.228
84001.217,302.363,0.968,9.095,40.028,14.296,31.069,-10.700,-19.876,-25.153,-18.244,-17.328,26.950,-17.550,-15.626,-3.646,-0.422,-7.858,-2.613,-6.896,-14.200,-20.822,0.000,-544.798,-289.718,14.557,-320.997,102.228
83997.186,302.360,0.968,9.086,39.949,14.296,31.069,-10.366,-20.090,-25.988,-18.459,-17.120,26.202,-17.443,-14.957,-4.063,-0.316,-7.964,-3.031,-7.314,-14.511,-19.358,0.000,-544.798,-289.718,14.557,-321.030,102.228
